timestamp_c,frame.number,frame.len,wlan.ta,wlan.sa,wlan.ra,wlan.da,wlan.bssid,wlan.duration,wlan.frag,wlan.seq,wlan.fc.type,wlan.fc.subtype,wlan.flags,wlan.fcs,wlan.fcs.status,wlan.qos,wlan.qos.priority,wlan.qos.ack,wlan.ccmp.extiv,wlan.wep.key,data.len,radiotap.hdr_length,radiotap.antenna_signal,radiotap.signal_quality,radiotap.channel.flags.ofdm,radiotap.channel.flags.cck,wlan_radio.datarate,wlan_radio.channel,wlan_radio.frequency,wlan_radio.signal_strength (dbm),wlan_radio.Noise level (dbm),wlan_radio.SNR (db),wlan_radio.preamble,class
1683996559,3,293,0,1,1,0,0,44,0,4085,2,8,65,3729667838,2,0,0,0,4086,0,214,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996559,12,295,0,1,1,0,0,44,0,4086,2,8,65,19424122,2,0,0,0,4087,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996559,18,294,0,1,1,0,0,44,0,4087,2,8,65,3821132423,2,0,0,0,4088,0,215,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996559,30,294,0,1,1,0,0,44,0,4088,2,8,65,959072504,2,0,0,0,4089,0,215,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996559,42,294,0,1,1,0,0,44,0,4089,2,8,65,415469788,2,0,0,0,4090,0,215,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996559,53,293,0,1,1,0,0,44,0,4090,2,8,65,2705276751,2,0,0,0,4091,0,214,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996559,71,294,0,1,1,0,0,44,0,4091,2,8,65,2221251285,2,0,0,0,4092,0,215,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996559,92,296,0,1,1,0,0,44,0,4093,2,8,65,992226584,2,0,0,0,4094,0,217,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996559,103,295,0,1,1,0,0,44,0,4094,2,8,65,2912642177,2,0,0,0,4095,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996560,118,295,0,1,1,0,0,44,0,4095,2,8,65,1450192642,2,0,0,0,4096,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996560,130,294,0,1,1,0,0,44,0,0,2,8,65,1203236354,2,0,0,0,4097,0,215,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996560,144,294,0,1,1,0,0,44,0,1,2,8,65,1348479435,2,0,0,0,4098,0,215,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996560,159,295,0,1,1,0,0,44,0,2,2,8,65,2843317273,2,0,0,0,4099,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996560,178,295,0,1,1,0,0,44,0,3,2,8,65,3106509282,2,0,0,0,4100,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996560,191,295,0,1,1,0,0,44,0,4,2,8,65,1565619218,2,0,0,0,4101,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996560,205,295,0,1,1,0,0,44,0,5,2,8,65,833708565,2,0,0,0,4102,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996560,215,295,0,1,1,0,0,44,0,6,2,8,65,2332051716,2,0,0,0,4103,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996560,226,295,0,1,1,0,0,44,0,7,2,8,65,1624585026,2,0,0,0,4104,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996560,238,295,0,1,1,0,0,44,0,8,2,8,65,1886645588,2,0,0,0,4105,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,251,296,0,1,1,0,0,44,0,9,2,8,65,1130534182,2,0,0,0,4106,0,217,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,264,297,0,1,1,0,0,44,0,10,2,8,65,2098562084,2,0,0,0,4107,0,218,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,282,141,1,0,0,1,0,44,0,122,2,8,66,4098799993,2,0,0,0,125,0,62,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,285,141,0,1,1,0,0,44,0,11,2,8,65,3581486638,2,0,0,0,4108,0,62,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,299,296,0,1,1,0,0,44,0,12,2,8,65,2000589786,2,0,0,0,4109,0,217,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,313,295,0,1,1,0,0,44,0,13,2,8,65,3667526132,2,0,0,0,4110,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,325,295,0,1,1,0,0,44,0,14,2,8,65,375670858,2,0,0,0,4111,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,346,297,0,1,1,0,0,44,0,15,2,8,65,95639670,2,0,0,0,4112,0,218,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,360,294,0,1,1,0,0,44,0,16,2,8,65,1730006280,2,0,0,0,4113,0,215,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,389,296,0,1,1,0,0,44,0,17,2,8,65,347775746,2,0,0,0,4114,0,217,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,406,295,0,1,1,0,0,44,0,18,2,8,65,2388279551,2,0,0,0,4115,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996561,417,294,0,1,1,0,0,44,0,19,2,8,65,3534055846,2,0,0,0,4116,0,215,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996562,436,294,0,1,1,0,0,44,0,21,2,8,65,1161956870,2,0,0,0,4118,0,215,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996562,453,294,0,1,1,0,0,44,0,22,2,8,65,1638561990,2,0,0,0,4119,0,215,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996562,466,295,0,1,1,0,0,44,0,23,2,8,65,3523495964,2,0,0,0,4120,0,216,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
1683996562,483,294,0,1,1,0,0,44,0,25,2,8,65,2379958927,2,0,0,0,4122,0,215,41,0,1,1,0,54,6,2437,0,0,0,20,evil_twin
